Plan,Name,Min,Max,Cost,Annual,Send,PPS,
"$10,556",High Volume,"1,015,001","1,020,000","$10,556","$105,560","12,240,000",$0.0098,
"$10,605",High Volume,"1,020,001","1,025,000","$10,605","$106,050","12,300,000",$0.0098,
"$10,654",High Volume,"1,025,001","1,030,000","$10,654","$106,540","12,360,000",$0.0098,
"$10,703",High Volume,"1,030,001","1,035,000","$10,703","$107,030","12,420,000",$0.0098,
"$10,752",High Volume,"1,035,001","1,040,000","$10,752","$107,520","12,480,000",$0.0098,
"$10,801",High Volume,"1,040,001","1,045,000","$10,801","$108,010","12,540,000",$0.0098,
"$10,850",High Volume,"1,045,001","1,050,000","$10,850","$108,500","12,600,000",$0.0098,
"$10,899",High Volume,"1,050,001","1,055,000","$10,899","$108,990","12,660,000",$0.0098,
"$10,948",High Volume,"1,055,001","1,060,000","$10,948","$109,480","12,720,000",$0.0098,
"$10,997",High Volume,"1,060,001","1,065,000","$10,997","$109,970","12,780,000",$0.0098,
"$11,046",High Volume,"1,065,001","1,070,000","$11,046","$110,460","12,840,000",$0.0098,
"$11,095",High Volume,"1,070,001","1,075,000","$11,095","$110,950","12,900,000",$0.0098,
"$11,144",High Volume,"1,075,001","1,080,000","$11,144","$111,440","12,960,000",$0.0098,
"$11,193",High Volume,"1,080,001","1,085,000","$11,193","$111,930","13,020,000",$0.0098,
"$11,242",High Volume,"1,085,001","1,090,000","$11,242","$112,420","13,080,000",$0.0098,
"$11,291",High Volume,"1,090,001","1,095,000","$11,291","$112,910","13,140,000",$0.0098,
"$11,340",High Volume,"1,095,001","1,100,000","$11,340","$113,400","13,200,000",$0.0098,
"$11,389",High Volume,"1,100,001","1,105,000","$11,389","$113,890","13,260,000",$0.0098,
"$11,438",High Volume,"1,105,001","1,110,000","$11,438","$114,380","13,320,000",$0.0098,
"$11,487",High Volume,"1,110,001","1,115,000","$11,487","$114,870","13,380,000",$0.0098,
"$11,536",High Volume,"1,115,001","1,120,000","$11,536","$115,360","13,440,000",$0.0098,
"$11,585",High Volume,"1,120,001","1,125,000","$11,585","$115,850","13,500,000",$0.0098,
"$11,634",High Volume,"1,125,001","1,130,000","$11,634","$116,340","13,560,000",$0.0098,
"$11,683",High Volume,"1,130,001","1,135,000","$11,683","$116,830","13,620,000",$0.0098,
"$11,732",High Volume,"1,135,001","1,140,000","$11,732","$117,320","13,680,000",$0.0098,
"$11,781",High Volume,"1,140,001","1,145,000","$11,781","$117,810","13,740,000",$0.0098,
"$11,830",High Volume,"1,145,001","1,150,000","$11,830","$118,300","13,800,000",$0.0098,
"$11,879",High Volume,"1,150,001","1,155,000","$11,879","$118,790","13,860,000",$0.0098,
"$11,928",High Volume,"1,155,001","1,160,000","$11,928","$119,280","13,920,000",$0.0098,
"$11,977",High Volume,"1,160,001","1,165,000","$11,977","$119,770","13,980,000",$0.0098,
"$12,026",High Volume,"1,165,001","1,170,000","$12,026","$120,260","14,040,000",$0.0098,
"$12,075",High Volume,"1,170,001","1,175,000","$12,075","$120,750","14,100,000",$0.0098,
"$12,124",High Volume,"1,175,001","1,180,000","$12,124","$121,240","14,160,000",$0.0098,
"$12,173",High Volume,"1,180,001","1,185,000","$12,173","$121,730","14,220,000",$0.0098,
"$12,222",High Volume,"1,185,001","1,190,000","$12,222","$122,220","14,280,000",$0.0098,
"$12,271",High Volume,"1,190,001","1,195,000","$12,271","$122,710","14,340,000",$0.0098,
"$12,320",High Volume,"1,195,001","1,200,000","$12,320","$123,200","14,400,000",$0.0098,
"$12,369",High Volume,"1,200,001","1,205,000","$12,369","$123,690","14,460,000",$0.0098,
"$12,418",High Volume,"1,205,001","1,210,000","$12,418","$124,180","14,520,000",$0.0098,
"$12,467",High Volume,"1,210,001","1,215,000","$12,467","$124,670","14,580,000",$0.0098,
"$12,516",High Volume,"1,215,001","1,220,000","$12,516","$125,160","14,640,000",$0.0098,
"$12,565",High Volume,"1,220,001","1,225,000","$12,565","$125,650","14,700,000",$0.0098,
"$12,614",High Volume,"1,225,001","1,230,000","$12,614","$126,140","14,760,000",$0.0098,
"$12,663",High Volume,"1,230,001","1,235,000","$12,663","$126,630","14,820,000",$0.0098,
"$12,712",High Volume,"1,235,001","1,240,000","$12,712","$127,120","14,880,000",$0.0098,
"$12,761",High Volume,"1,240,001","1,245,000","$12,761","$127,610","14,940,000",$0.0098,
"$12,810",High Volume,"1,245,001","1,250,000","$12,810","$128,100","15,000,000",$0.0098,
"$12,859",High Volume,"1,250,001","1,255,000","$12,859","$128,590","15,060,000",$0.0098,
"$12,908",High Volume,"1,255,001","1,260,000","$12,908","$129,080","15,120,000",$0.0098,
"$12,957",High Volume,"1,260,001","1,265,000","$12,957","$129,570","15,180,000",$0.0098,
"$13,006",High Volume,"1,265,001","1,270,000","$13,006","$130,060","15,240,000",$0.0098,
"$13,055",High Volume,"1,270,001","1,275,000","$13,055","$130,550","15,300,000",$0.0098,
"$13,104",High Volume,"1,275,001","1,280,000","$13,104","$131,040","15,360,000",$0.0098,
"$13,153",High Volume,"1,280,001","1,285,000","$13,153","$131,530","15,420,000",$0.0098,
"$13,202",High Volume,"1,285,001","1,290,000","$13,202","$132,020","15,480,000",$0.0098,
"$13,251",High Volume,"1,290,001","1,295,000","$13,251","$132,510","15,540,000",$0.0098,
"$13,300",High Volume,"1,295,001","1,300,000","$13,300","$133,000","15,600,000",$0.0098,
"$13,349",High Volume,"1,300,001","1,305,000","$13,349","$133,490","15,660,000",$0.0098,
"$13,398",High Volume,"1,305,001","1,310,000","$13,398","$133,980","15,720,000",$0.0098,
"$13,447",High Volume,"1,310,001","1,315,000","$13,447","$134,470","15,780,000",$0.0098,
"$13,496",High Volume,"1,315,001","1,320,000","$13,496","$134,960","15,840,000",$0.0098,
"$13,545",High Volume,"1,320,001","1,325,000","$13,545","$135,450","15,900,000",$0.0098,
"$13,594",High Volume,"1,325,001","1,330,000","$13,594","$135,940","15,960,000",$0.0098,
"$13,643",High Volume,"1,330,001","1,335,000","$13,643","$136,430","16,020,000",$0.0098,
"$13,692",High Volume,"1,335,001","1,340,000","$13,692","$136,920","16,080,000",$0.0098,
"$13,741",High Volume,"1,340,001","1,345,000","$13,741","$137,410","16,140,000",$0.0098,
"$13,790",High Volume,"1,345,001","1,350,000","$13,790","$137,900","16,200,000",$0.0098,
"$13,839",High Volume,"1,350,001","1,355,000","$13,839","$138,390","16,260,000",$0.0098,
"$13,888",High Volume,"1,355,001","1,360,000","$13,888","$138,880","16,320,000",$0.0098,
"$13,937",High Volume,"1,360,001","1,365,000","$13,937","$139,370","16,380,000",$0.0098,
"$13,986",High Volume,"1,365,001","1,370,000","$13,986","$139,860","16,440,000",$0.0098,
"$14,035",High Volume,"1,370,001","1,375,000","$14,035","$140,350","16,500,000",$0.0098,
"$14,084",High Volume,"1,375,001","1,380,000","$14,084","$140,840","16,560,000",$0.0098,
"$14,133",High Volume,"1,380,001","1,385,000","$14,133","$141,330","16,620,000",$0.0098,
"$14,182",High Volume,"1,385,001","1,390,000","$14,182","$141,820","16,680,000",$0.0098,
"$14,231",High Volume,"1,390,001","1,395,000","$14,231","$142,310","16,740,000",$0.0098,
"$14,280",High Volume,"1,395,001","1,400,000","$14,280","$142,800","16,800,000",$0.0098,
"$14,329",High Volume,"1,400,001","1,405,000","$14,329","$143,290","16,860,000",$0.0098,
"$14,378",High Volume,"1,405,001","1,410,000","$14,378","$143,780","16,920,000",$0.0098,
"$14,427",High Volume,"1,410,001","1,415,000","$14,427","$144,270","16,980,000",$0.0098,
"$14,476",High Volume,"1,415,001","1,420,000","$14,476","$144,760","17,040,000",$0.0098,
"$14,525",High Volume,"1,420,001","1,425,000","$14,525","$145,250","17,100,000",$0.0098,
"$14,574",High Volume,"1,425,001","1,430,000","$14,574","$145,740","17,160,000",$0.0098,
"$14,623",High Volume,"1,430,001","1,435,000","$14,623","$146,230","17,220,000",$0.0098,
"$14,672",High Volume,"1,435,001","1,440,000","$14,672","$146,720","17,280,000",$0.0098,
"$14,721",High Volume,"1,440,001","1,445,000","$14,721","$147,210","17,340,000",$0.0098,
"$14,770",High Volume,"1,445,001","1,450,000","$14,770","$147,700","17,400,000",$0.0098,
"$14,819",High Volume,"1,450,001","1,455,000","$14,819","$148,190","17,460,000",$0.0098,
"$14,868",High Volume,"1,455,001","1,460,000","$14,868","$148,680","17,520,000",$0.0098,
"$14,917",High Volume,"1,460,001","1,465,000","$14,917","$149,170","17,580,000",$0.0098,
"$14,966",High Volume,"1,465,001","1,470,000","$14,966","$149,660","17,640,000",$0.0098,
"$15,015",High Volume,"1,470,001","1,475,000","$15,015","$150,150","17,700,000",$0.0098,
"$15,064",High Volume,"1,475,001","1,480,000","$15,064","$150,640","17,760,000",$0.0098,
"$15,113",High Volume,"1,480,001","1,485,000","$15,113","$151,130","17,820,000",$0.0098,
"$15,162",High Volume,"1,485,001","1,490,000","$15,162","$151,620","17,880,000",$0.0098,
"$15,211",High Volume,"1,490,001","1,495,000","$15,211","$152,110","17,940,000",$0.0098,
"$15,260",High Volume,"1,495,001","1,500,000","$15,260","$152,600","18,000,000",$0.0098,
"$15,309",High Volume,"1,500,001","1,505,000","$15,309","$153,090","18,060,000",$0.0098,
"$15,358",High Volume,"1,505,001","1,510,000","$15,358","$153,580","18,120,000",$0.0098,
"$15,407",High Volume,"1,510,001","1,515,000","$15,407","$154,070","18,180,000",$0.0098,
"$15,456",High Volume,"1,515,001","1,520,000","$15,456","$154,560","18,240,000",$0.0098,
"$15,505",High Volume,"1,520,001","1,525,000","$15,505","$155,050","18,300,000",$0.0098,
"$15,554",High Volume,"1,525,001","1,530,000","$15,554","$155,540","18,360,000",$0.0098,
"$15,603",High Volume,"1,530,001","1,535,000","$15,603","$156,030","18,420,000",$0.0098,
"$15,652",High Volume,"1,535,001","1,540,000","$15,652","$156,520","18,480,000",$0.0098,
"$15,701",High Volume,"1,540,001","1,545,000","$15,701","$157,010","18,540,000",$0.0098,
"$15,750",High Volume,"1,545,001","1,550,000","$15,750","$157,500","18,600,000",$0.0098,
"$15,799",High Volume,"1,550,001","1,555,000","$15,799","$157,990","18,660,000",$0.0098,
"$15,848",High Volume,"1,555,001","1,560,000","$15,848","$158,480","18,720,000",$0.0098,
"$15,897",High Volume,"1,560,001","1,565,000","$15,897","$158,970","18,780,000",$0.0098,
